ds,festival_day_percent
2014-01-01,0.258064516
2015-01-01,0
2016-01-01,0.032258065
2017-01-01,0.387096774
2018-01-01,0
2019-01-01,0.129032258
2014-02-01,0.464285714
2015-02-01,0.75
2016-02-01,0.689655172
2017-02-01,0.321428571
2018-02-01,0.75
2019-02-01,0.607142857
